"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Biopterin metabolism","9","9","4","1.0068","0.0090121","0.055389","0.0061955","38","0.0038","P1","EC0001025;EC00044;EC00047;EC00049"
"Histidine metabolism","32","32","7","3.5796","0.039206","0.099674","0.0067832","2488","0.2488","P2","EC000239;EC000345;EC000756;EC00076;EC000753;EC000754;EC000213"
"Tyrosine metabolism","125","125","19","13.983","0.045206","0.074353","0.0069069","3265","0.3265","P3","EC000968;EC000318;EC000598;EC000511;EC00044;EC0001073;EC00047;EC00049;EC000255;EC000102;EC00034;EC000291;EC000293;EC000457;EC000719;EC000720;EC000722;EC000299;EC000927"
"Caffeine metabolism","5","5","2","0.55931","0.085789","0.41765","0.0078095","1281","0.1281","P4","EC00020;EC000913"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","25","25","5","2.7965","0.10628","0.24792","0.0083126","1640","0.164","P5","EC00031;EC00034;EC000431;EC000505;EC00095"
"Hexose phosphorylation","13","13","3","1.4542","0.14255","0.39044","0.00929","2571","0.2571","P6","EC00020;EC000102;EC000188"
"Glycosphingolipid biosynthesis - globoseries","2","2","1","0.22372","0.19584","1","0.010958","551","0.0551","P7","EC00020"
"Aspartate and asparagine metabolism","83","83","11","9.2845","0.22797","0.33889","0.012118","4904","0.4904","P8","EC000238;EC000758;EC000435;EC000437;EC000594;EC00041;EC000518;EC000222;EC00031;EC00034;EC00025"
"Glycerophospholipid metabolism","50","50","7","5.5931","0.25095","0.40531","0.01303","701","0.0701","P9","EC000430;EC000434;EC000623;EC000328;EC000291;EC000293;EC00020"
"Valine, leucine and isoleucine degradation","25","25","4","2.7965","0.25298","0.47992","0.013114","442","0.0442","P10","EC00072;EC00074;EC000130;EC000987"
"Starch and Sucrose Metabolism","3","3","1","0.33558","0.27898","1","0.014245","3115","0.3115","P11","EC00020"
"Bile acid biosynthesis","28","28","4","3.1321","0.32581","0.55917","0.016562","1246","0.1246","P12","EC000647;EC000950;EC000513;EC000525"
"Methionine and cysteine metabolism","28","28","4","3.1321","0.32581","0.55917","0.016562","1798","0.1798","P13","EC000695;EC00038;EC000264;EC000540"
"Alanine and Aspartate Metabolism","20","20","3","2.2372","0.34126","0.62365","0.017415","7506","0.7506","P14","EC00031;EC00034;EC000505"
"Vitamin H (biotin) metabolism","4","4","1","0.44744","0.35359","1","0.018131","2363","0.2363","P15","EC00025"
"Alkaloid biosynthesis II","12","12","2","1.3423","0.35599","0.728","0.018274","4376","0.4376","P16","EC000465;EC000860"
"Urea cycle/amino group metabolism","76","76","9","8.5014","0.38284","0.52492","0.019964","7659","0.7659","P17","EC000457;EC000290;EC00031;EC000238;EC000255;EC00038;EC000106;EC00041;EC000222"
"Glycine, serine, alanine and threonine metabolism","49","49","6","5.4812","0.3942","0.57523","0.020731","2408","0.2408","P18","EC00031;EC000985;EC0001046;EC00038;EC00041;EC000290"
"Glutathione Metabolism","13","13","2","1.4542","0.39479","0.75613","0.020772","3307","0.3307","P19","EC000465;EC000594"
"Chondroitin sulfate degradation","5","5","1","0.55931","0.42054","1","0.022639","4767","0.4767","P20","EC00020"
"3-oxo-10R-octadecatrienoate beta-oxidation","5","5","1","0.55931","0.42054","1","0.022639","910","0.091","P21","EC0001065"
"Lipoate metabolism","5","5","1","0.55931","0.42054","1","0.022639","5436","0.5436","P22","EC00025"
"Drug metabolism - cytochrome P450","32","32","4","3.5796","0.42441","0.6529","0.022937","4171","0.4171","P23","EC000937;EC000930;EC000939;EC000927"
"Glycosphingolipid metabolism","23","23","3","2.5728","0.42943","0.7005","0.023328","4138","0.4138","P24","EC000291;EC000293;EC00020"
"Leukotriene metabolism","24","24","3","2.6847","0.45799","0.72308","0.025704","2453","0.2453","P25","EC0001102;EC000990;EC000231"
"Vitamin B6 (pyridoxine) metabolism","15","15","2","1.6779","0.46898","0.80402","0.026691","7252","0.7252","P26","EC000275;EC000277"
"Glycosphingolipid biosynthesis - ganglioseries","6","6","1","0.67117","0.48061","1","0.027783","2421","0.2421","P27","EC00020"
"Propanoate metabolism","6","6","1","0.67117","0.48061","1","0.027783","4746","0.4746","P28","EC000777"
"N-Glycan Degradation","6","6","1","0.67117","0.48061","1","0.027783","8168","0.8168","P29","EC00020"
